Query_ID	Target_ID	Optimal_Offset	p-value	E-value	Overlap	Strand
filter0 	MA0014.2 PAX5	6.0	8.3282e-02	4.3224e+01	13.0	-
filter0 	MA0017.2 NR2F1	-2.0	9.2349e-02	4.7929e+01	13.0	-
filter0 	MA0030.1 FOXF2	-1.0	1.7448e-03	9.0555e-01	14.0	-
filter0 	MA0031.1 FOXD1	-2.0	1.8000e-02	9.3420e+00	8.0	-
filter0 	MA0032.2 FOXC1	-2.0	1.9719e-02	1.0234e+01	11.0	-
filter0 	MA0033.2 FOXL1	-3.0	5.1602e-02	2.6782e+01	7.0	-
filter0 	MA0036.2 GATA2	-1.0	1.5882e-02	8.2426e+00	14.0	-
filter0 	MA0040.1 Foxq1	0.0	1.0953e-02	5.6848e+00	11.0	+
filter0 	MA0042.2 FOXI1	-3.0	6.0530e-02	3.1415e+01	7.0	-
filter0 	MA0047.2 Foxa2	-3.0	1.9399e-03	1.0068e+00	12.0	+
filter0 	MA0060.2 NFYA	1.0	6.5902e-03	3.4203e+00	17.0	+
filter0 	MA0071.1 RORA	-6.0	7.8496e-02	4.0739e+01	10.0	-
filter0 	MA0072.1 RORA(var.2)	-5.0	5.3414e-02	2.7722e+01	14.0	-
filter0 	MA0089.1 MAFG::NFE2L1	-4.0	2.7347e-02	1.4193e+01	6.0	+
filter0 	MA0092.1 Hand1::Tcf3	-2.0	8.2408e-02	4.2770e+01	10.0	+
filter0 	MA0099.2 FOS::JUN	-6.0	4.1491e-02	2.1534e+01	7.0	+
filter0 	MA0117.2 Mafb	1.0	6.4037e-10	3.3235e-07	11.0	+
filter0 	MA0131.2 HINFP	-2.0	1.3182e-02	6.8417e+00	12.0	-
filter0 	MA0140.2 GATA1::TAL1	-5.0	1.3461e-02	6.9863e+00	14.0	-
filter0 	MA0148.3 FOXA1	1.0	2.8649e-03	1.4869e+00	14.0	+
filter0 	MA0150.2 Nfe2l2	-3.0	8.4976e-06	4.4102e-03	15.0	-
filter0 	MA0157.2 FOXO3	-2.0	3.9864e-02	2.0690e+01	8.0	-
filter0 	MA0159.1 RARA::RXRA	-3.0	3.5905e-02	1.8635e+01	16.0	+
filter0 	MA0258.2 ESR2	-3.0	1.5784e-02	8.1920e+00	15.0	+
filter0 	MA0462.1 BATF::JUN	-6.0	1.6588e-02	8.6090e+00	11.0	-
filter0 	MA0476.1 FOS	-4.0	6.6806e-03	3.4672e+00	11.0	+
filter0 	MA0477.1 FOSL1	-4.0	1.0309e-02	5.3505e+00	11.0	+
filter0 	MA0478.1 FOSL2	-5.0	1.2353e-02	6.4111e+00	11.0	-
filter0 	MA0479.1 FOXH1	-3.0	3.4367e-02	1.7836e+01	11.0	-
filter0 	MA0480.1 Foxo1	0.0	4.2532e-02	2.2074e+01	11.0	+
filter0 	MA0481.1 FOXP1	0.0	2.3695e-03	1.2298e+00	15.0	-
filter0 	MA0489.1 JUN(var.2)	-5.0	6.6245e-04	3.4381e-01	14.0	-
filter0 	MA0490.1 JUNB	-5.0	9.1230e-03	4.7348e+00	11.0	-
filter0 	MA0491.1 JUND	-4.0	2.6138e-02	1.3566e+01	11.0	+
filter0 	MA0492.1 JUND(var.2)	-1.0	2.3032e-02	1.1954e+01	15.0	+
filter0 	MA0494.1 Nr1h3::Rxra	0.0	1.6951e-02	8.7978e+00	19.0	-
filter0 	MA0495.1 MAFF	3.0	-5.9286e-13	-3.0769e-10	15.0	-
filter0 	MA0496.1 MAFK	1.0	-6.6880e-13	-3.4711e-10	14.0	-
filter0 	MA0498.2 MEIS1	-5.0	7.0756e-02	3.6722e+01	7.0	+
filter0 	MA0499.1 Myod1	0.0	3.2397e-02	1.6814e+01	13.0	+
filter0 	MA0500.1 Myog	0.0	4.4823e-02	2.3263e+01	11.0	+
filter0 	MA0501.1 MAF::NFE2	1.0	7.0786e-06	3.6738e-03	14.0	-
filter0 	MA0502.1 NFYB	-5.0	4.0608e-02	2.1075e+01	14.0	-
filter0 	MA0507.1 POU2F2	0.0	1.5823e-02	8.2120e+00	13.0	-
filter0 	MA0511.2 RUNX2	-2.0	8.1756e-02	4.2431e+01	9.0	-
filter0 	MA0520.1 Stat6	-1.0	6.0061e-02	3.1172e+01	15.0	-
filter0 	MA0521.1 Tcf12	0.0	3.8257e-02	1.9855e+01	11.0	+
filter0 	MA0591.1 Bach1::Mafk	-2.0	2.7528e-06	1.4287e-03	15.0	-
filter0 	MA0593.1 FOXP2	-1.0	3.7289e-03	1.9353e+00	11.0	-
filter0 	MA0605.1 Atf3	-4.0	4.6845e-02	2.4313e+01	8.0	+
filter0 	MA0612.1 EMX1	-1.0	5.2538e-02	2.7267e+01	10.0	+
filter0 	MA0613.1 FOXG1	-2.0	2.4102e-02	1.2509e+01	8.0	-
filter0 	MA0614.1 Foxj2	-2.0	1.3324e-02	6.9149e+00	8.0	-
filter0 	MA0615.1 Gmeb1	-2.0	8.6906e-03	4.5104e+00	17.0	+
filter0 	MA0627.1 Pou2f3	2.0	4.4924e-02	2.3316e+01	14.0	+
filter0 	MA0628.1 POU6F1	-1.0	6.1232e-02	3.1779e+01	10.0	-
filter0 	MA0629.1 Rhox11	1.0	6.7027e-04	3.4787e-01	16.0	+
filter0 	MA0631.1 Six3	-1.0	3.0939e-02	1.6057e+01	17.0	-
filter0 	MA0638.1 CREB3	-3.0	3.0481e-02	1.5820e+01	14.0	-
filter0 	MA0642.1 EN2	-4.0	8.2408e-02	4.2770e+01	10.0	-
filter0 	MA0644.1 ESX1	-4.0	9.0731e-02	4.7089e+01	10.0	-
filter0 	MA0659.1 MAFG	1.0	9.8404e-10	5.1072e-07	19.0	+
filter0 	MA0661.1 MEOX1	-1.0	5.8204e-02	3.0208e+01	10.0	-
filter0 	MA0670.1 NFIA	-1.0	1.0246e-02	5.3177e+00	10.0	+
filter0 	MA0671.1 NFIX	-1.0	6.3783e-02	3.3103e+01	9.0	+
filter0 	MA0679.1 ONECUT1	-1.0	9.8879e-02	5.1318e+01	14.0	-
filter0 	MA0684.1 RUNX3	-1.0	5.5308e-02	2.8705e+01	10.0	-
filter0 	MA0691.1 TFAP4	0.0	1.6540e-02	8.5842e+00	10.0	+
filter0 	MA0706.1 MEOX2	-1.0	1.1573e-02	6.0062e+00	10.0	-
filter0 	MA0707.1 MNX1	-1.0	7.4743e-02	3.8792e+01	10.0	-
filter0 	MA0719.1 RHOXF1	-2.0	4.9399e-02	2.5638e+01	8.0	-
filter0 	MA0738.1 HIC2	-2.0	6.3783e-02	3.3103e+01	9.0	+
filter0 	MA0756.1 ONECUT2	-1.0	9.8879e-02	5.1318e+01	14.0	-
filter0 	MA0766.1 GATA5	-3.0	9.9997e-02	5.1899e+01	8.0	+
filter0 	MA0784.1 POU1F1	1.0	6.1857e-02	3.2104e+01	13.0	+
filter0 	MA0785.1 POU2F1	1.0	4.9439e-02	2.5659e+01	11.0	+
filter0 	MA0786.1 POU3F1	0.0	1.4820e-02	7.6916e+00	12.0	+
filter0 	MA0787.1 POU3F2	0.0	2.4711e-02	1.2825e+01	12.0	+
filter0 	MA0788.1 POU3F3	1.0	1.7726e-02	9.1998e+00	12.0	+
filter0 	MA0793.1 POU6F2	-2.0	5.2538e-02	2.7267e+01	10.0	-
filter0 	MA0816.1 Ascl2	0.0	9.5152e-02	4.9384e+01	10.0	+
filter0 	MA0839.1 CREB3L1	-3.0	7.4905e-02	3.8876e+01	14.0	-
filter0 	MA0842.1 NRL	1.0	2.0669e-08	1.0727e-05	10.0	+
filter0 	MA0844.1 XBP1	-4.0	1.0652e-02	5.5283e+00	14.0	-
filter0 	MA0845.1 FOXB1	-2.0	5.5111e-02	2.8602e+01	11.0	-
filter0 	MA0846.1 FOXC2	-1.0	1.4668e-03	7.6125e-01	12.0	-
filter0 	MA0847.1 FOXD2	-3.0	7.8365e-02	4.0672e+01	7.0	-
filter0 	MA0848.1 FOXO4	-3.0	3.7120e-02	1.9265e+01	7.0	-
filter0 	MA0849.1 FOXO6	-3.0	3.3161e-02	1.7211e+01	7.0	-
filter0 	MA0850.1 FOXP3	-3.0	5.4442e-02	2.8255e+01	7.0	-
filter0 	MA0851.1 Foxj3	2.0	1.2855e-03	6.6715e-01	15.0	-
filter0 	MA0852.1 Foxk1	2.0	8.2181e-03	4.2652e+00	15.0	-
filter0 	MA0853.1 Alx4	2.0	1.9533e-02	1.0138e+01	15.0	+
filter0 	MA0854.1 Alx1	2.0	8.2181e-03	4.2652e+00	15.0	+
filter0 	MA0874.1 Arx	-1.0	5.8018e-02	3.0111e+01	17.0	-
filter0 	MA0877.1 Barhl1	-4.0	8.2408e-02	4.2770e+01	10.0	+
filter0 	MA0883.1 Dmbx1	0.0	3.4507e-03	1.7909e+00	17.0	+
filter0 	MA0884.1 DUXA	-2.0	2.3422e-02	1.2156e+01	13.0	-
filter0 	MA0887.1 EVX1	-1.0	7.8496e-02	4.0739e+01	10.0	-
filter0 	MA0888.1 EVX2	-1.0	6.7697e-02	3.5135e+01	10.0	-
filter0 	MA0891.1 GSC2	-1.0	9.0731e-02	4.7089e+01	10.0	-
filter0 	MA0892.1 GSX1	-1.0	6.7697e-02	3.5135e+01	10.0	-
filter0 	MA0893.1 GSX2	-1.0	6.4394e-02	3.3421e+01	10.0	-
